Country Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),"Population, total",Urban population growth (annual %)
Lebanon,3.944999742726938,99.94704120998412,4.654221757346732,2.5948724159837133,3.919619036772826,6086185.111111111,4.097369978422709
Lesotho,1.181379774748212,27.297058916091924,52.47065553362,0.2609257874951947,0.640019795544357,2046653.3333333333,2.2785088583881343
Liberia,0.2226796353569218,11.694206488132483,86.08759698213929,3.5308739503155864,2.7744922051086265,4359168.888888889,3.6101716834732605
Libya,8.519043937933478,75.63997554779053,1.8583664711636134,0.21123191205265401,0.9450998477892202,6398113.111111111,1.263810973689602
Liechtenstein,1.3431586736430863,100.0,61.37405560735402,22.120069454367798,0.6589802674919477,37099.666666666664,0.5209777879959306
Lithuania,4.436634929190836,100.0,25.187875446438934,16.9954006502244,-1.395779873269382,2932700.3333333335,-1.2575083008713916
Low & middle income,3.4358931680055362,82.79222424348683,22.935622665773337,14.601184750637467,1.28604540725843,6072797485.111111,2.455981191971654
Low income,0.3311885945142544,33.69968307180437,75.69653977360498,15.540788979539267,2.549769270579432,639103936.0,3.8140106058030288
Lower middle income,1.43290632724112,78.92497751288883,40.69907949657675,13.614229641419534,1.4877984945739944,2855957078.4444447,2.665389111392482
Luxembourg,19.73655320170314,100.0,5.529763488361837,38.00516091903334,2.217368603964422,556845.2222222222,2.5650729056711303
Madagascar,0.11748907589479833,18.44351477622986,75.35280779323051,5.476370876406847,2.7149584869900902,23639418.222222224,4.630700377329579
Malawi,0.07689735814930838,9.8875,80.49684619933635,20.880698473518468,2.7792506486969186,16310078.333333334,3.815380130555955
Malaysia,7.823573682824838,99.81068096160888,4.4646052892600805,19.12621103962567,1.424422210318659,29872439.888888888,2.331542591021571
Maldives,2.728813539614212,99.76793251037596,1.0497127016075485,1.1327304513667067,4.199139377991858,437400.0,5.309899248469717
Mali,0.06788446917111265,32.6646586894989,64.87184689536234,8.231073370048408,2.986342852851091,16991313.111111112,5.042609074426557
Malta,5.91091544293443,100.0,2.979089706366595,28.087583888414866,1.7659212654868335,440363.0,1.8378850201600265
Marshall Islands,1.8094365656932196,91.69883127267863,12.105481232451567,11.9638057381702,0.41924918574515924,57264.0,1.0022286500857829
Mauritania,0.6821066237683874,38.41825923919677,32.91651121283463,0.621325475887526,2.894706154673895,3938168.3333333335,4.684698165335119
Mauritius,3.2016780453362643,98.35317974090577,11.83650190998012,4.7335925418082665,0.15807762214729562,1259363.0,-0.07720571938959418
Mexico,4.121157204621197,99.34370205096434,9.266052220111403,14.423688400974868,1.2795865170012555,120267180.66666667,1.651128409684529
Micronesia,1.2644117371750538,72.78200571247083,1.309050741438495,1.459441893624463,0.9967850231954173,107494.22222222222,1.1932402967073559
Middle East & North Africa,6.005806019693394,96.82318640299582,1.7108116528665283,6.674254733497661,1.9323091089904034,417703804.1111111,2.490297162198539
Middle East & North Africa (IDA & IBRD countries),3.9563206860667535,96.25248539729182,2.6054460172356317,7.170554089765989,1.764877890477159,353518703.4444444,2.3132050229264554
Middle East & North Africa (excluding high income),3.917307927872534,96.29511300412975,2.6444169905081334,7.171098048522957,1.7722900944864033,357692072.6666667,2.319458703373778
Middle income,3.7899962972510357,88.51286476007766,20.839573069488214,14.444086941746733,1.1394912990338568,5433693549.111111,2.358445410076326
Moldova,1.3949693583699119,100.0,11.532727428728963,4.150356365700993,-0.06162502551770821,3555294.888888889,-0.06736292511167502
Mongolia,8.532434792624136,80.66690159859132,3.4532815373151755,17.609255043651867,1.892200170122271,2941738.0,2.1991617756826645
Montenegro,3.8503471672422784,99.9625,46.03591983894652,5.620474019111719,0.07256143177792024,621367.2222222222,0.5838759943413042
Morocco,1.776021418772848,95.83057708740236,12.208472325797535,30.7884007402664,1.3423398605278456,34186167.55555555,2.2697229771594833
Mozambique,0.170568265835045,22.881336355209363,89.69290360219573,21.59215216194146,2.8149721456996812,26382834.444444444,4.355786218983744
Myanmar,0.2809666596349366,56.46930509806506,74.65670869407762,6.637000680064646,0.7394607819151343,52217257.44444445,1.4460228668516946
Namibia,1.4295472541453562,47.692051315307594,27.538634016106567,37.8906206835408,1.8056203891431188,2277900.222222222,4.126395569518754
Nepal,0.23076861971528836,80.25410358428955,85.80452401621672,23.627361322216398,0.4869314302452899,27206722.222222224,2.523539811770034
Netherlands,10.36911383101594,100.0,5.01770711350935,11.272489634007465,0.4612298858073048,16896157.777777776,1.1116645878569757
New Caledonia,14.92868341684916,100.0,5.202303760515167,54.40610508547607,1.6006357801292586,267573.3333333333,2.2577236909420058
New Zealand,7.491352829238396,100.0,30.84056831467755,32.546837237230264,1.4116904807534787,4562544.444444444,1.4525947185086479
Nicaragua,0.7840430860201806,81.77532194543457,51.49966771105765,37.22724528428347,1.3117877159756643,6143599.888888889,1.6591022292283544
Niger,0.09381959782152753,16.132245755195626,77.75657633373274,17.318061679272265,3.8693365260280084,19328256.666666668,4.005462894571544
Nigeria,0.5742660937061485,54.31296815872193,86.6837351775913,13.929722406874399,2.649055990744412,176728166.0,4.508021866214139
North America,16.562618401994563,100.0,9.91477688999205,11.321980894499069,0.7543468469571258,353880626.5555556,0.9675311446684614
North Macedonia,4.0812203820815185,99.96577047547922,20.979348539778766,9.65271010528418,0.07449722864274197,2077375.0,0.23786534169803009
Norway,10.416053183927202,100.0,57.32068137130546,17.060995249654535,1.0647267754333292,5121355.333333333,1.53845818305447
OECD members,9.842952372499102,99.93488151516715,11.241956768167766,14.895944923280334,0.6076248852851714,1272446217.8888888,0.8636809978419302
Oman,16.122749070713198,100.0,0.0,2.5718221209005327,5.758603463034931,3980513.4444444445,7.144724616301677
Other small states,6.991101133839919,70.84872827310137,28.188439792370048,29.343877148042665,2.1419582321073842,28387196.111111112,3.1994379316590114
Pacific island small states,1.047897208610164,75.4757578421704,32.25948728068677,4.304541460604163,1.3070999168685056,2329966.0,1.96812272122478
Pakistan,0.8733035054051872,70.84449756622314,46.64300384044967,12.313056851991732,2.1090566732144436,195531379.55555555,2.69165313531225
Palau,14.409096695764978,99.12882793314257,0.0,27.980127351396067,-0.23210393051913694,17741.88888888889,0.6078652206833678
Panama,2.5946071850914803,92.95880165100098,20.169270155978616,20.891293322241197,1.7157708647846477,3905083.888888889,2.1949562010569674
Papua New Guinea,0.7239123878781561,38.05000166893004,54.08288441789295,3.067286602926307,2.067943244612992,7952522.111111111,2.1798855899816085
Paraguay,0.8355021702102083,98.568896,62.98915100183488,11.7131573866886,1.343260316808732,6600340.111111111,1.831585100694809
Peru,1.903616314946552,92.30007304162598,27.680320060323982,21.299448525728266,1.1697752947809255,30277049.444444444,1.4099580675861536
Philippines,0.9559222084346658,88.93925300598147,28.962697670681965,15.317772880609667,1.592114158919411,100415164.44444445,1.9620449772682216
Poland,7.996963370818987,100.0,10.955971638679356,39.64009301825907,-0.050514457674699316,38014557.44444445,-0.22416661394392065
Portugal,4.423043266636819,100.0,28.058480527033463,22.920786718792332,-0.30535881415795507,10418827.888888888,0.6266828876718913
Post-demographic dividend,10.68616041679708,99.98635674532838,10.912716453917918,14.757887923929934,0.40988420912661644,1092150319.3333333,0.6463775220593626
